Timestamp: 1729066018.747892    ID:      321    S Tx                DL:  8    00 00 00 08 01 00 00 00
Timestamp: 1729066018.758377    ID:      321    S Tx                DL:  8    00 02 11 90 04 02 11 0e
Timestamp:    24438.001712    ID:      321    S Tx                DL:  8    00 02 11 90 04 02 11 0e
Timestamp:    24438.003567    ID:      123    S Rx                DL:  8    00 00 00 00 00 00 00 00
Timestamp:    24438.003567    ID:      321    S Tx                DL:  8    01 00 00 00 00 06 07 98
Timestamp:    24438.005417    ID:      123    S Rx                DL:  8    01 00 00 00 00 00 00 00
Timestamp:    24438.005417    ID:      321    S Tx                DL:  8    02 00 02 c8 00 00 00 fa
Timestamp:    24438.007151    ID:      123    S Rx                DL:  8    02 00 00 00 00 00 00 00
Timestamp:    24438.007151    ID:      321    S Tx                DL:  8    03 0f fb 9b fa 0f ff cb
Timestamp:    24438.008910    ID:      123    S Rx                DL:  8    03 00 00 00 00 00 00 00
Timestamp:    24438.008910    ID:      321    S Tx                DL:  8    04 fa 0f e5 7e fd 06 45
Timestamp:    24438.010552    ID:      123    S Rx                DL:  8    04 00 00 00 00 00 00 00
Timestamp:    24438.010552    ID:      321    S Tx                DL:  8    05 bc ba 01 38 0b fa 00
Timestamp:    24438.012340    ID:      123    S Rx                DL:  8    05 00 00 00 00 00 00 00
Timestamp:    24438.012340    ID:      321    S Tx                DL:  8    06 00 00 38 40 06 61 c8
Timestamp:    24438.014092    ID:      123    S Rx                DL:  8    06 00 00 00 00 00 00 00
Timestamp:    24438.014092    ID:      321    S Tx                DL:  8    07 00 00 00 00 00 00 00
Timestamp:    24438.015851    ID:      123    S Rx                DL:  8    07 00 00 00 00 00 00 00
Timestamp:    24438.015851    ID:      321    S Tx                DL:  8    00 00 00 08 01 00 00 00
Timestamp:    24438.026814    ID:      321    S Tx                DL:  8    00 02 11 90 04 02 11 0e
Timestamp:    24438.028326    ID:      123    S Rx                DL:  8    00 00 00 00 00 00 00 00
Timestamp:    24438.028326    ID:      321    S Tx                DL:  8    01 00 00 00 00 06 00 00
Timestamp:    24438.030156    ID:      123    S Rx                DL:  8    01 00 00 00 00 00 00 00
Timestamp:    24438.030156    ID:      321    S Tx                DL:  8    02 00 06 c8 00 00 00 fa
Timestamp:    24438.031932    ID:      123    S Rx                DL:  8    02 00 00 00 00 00 00 00
Timestamp:    24438.031932    ID:      321    S Tx                DL:  8    03 0f fb 9b fd 07 7f cc
Timestamp:    24438.033702    ID:      123    S Rx                DL:  8    03 00 00 00 00 00 00 00
Timestamp:    24438.033702    ID:      321    S Tx                DL:  8    04 fa 0f e5 7e fa 00 05
Timestamp:    24438.035372    ID:      123    S Rx                DL:  8    04 00 00 00 00 00 00 00
Timestamp:    24438.035372    ID:      321    S Tx                DL:  8    05 ba ba 01 38 0b fa 00
Timestamp:    24438.037073    ID:      123    S Rx                DL:  8    05 00 00 00 00 00 00 00
Timestamp:    24438.037073    ID:      321    S Tx                DL:  8    06 00 00 38 40 06 61 c8
Timestamp:    24438.038869    ID:      123    S Rx                DL:  8    06 00 00 00 00 00 00 00
