Time [s],Time Delta [ms],File Source,MOSI,MISO,Command Name,PE,Input Data Details,General Status,Sensor Data Flag,SID / add. Status,Output Data Details,Global Status Flag
0.51927895,0.006500000000020378,SMA760,0x3200001C,0x00000006,RD_MONITOR_I_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 7}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""DCM(MON15)"": 0, ""ME(MON14)"": 0, ""not_used(MON13)"": 0, ""CD(MON12)"": 0, ""SOC2(MON11)"": 0, ""SOC1(MON10)"": 0, ""EXT_M(MON9)"": 0, ""OTP_ECC(MON8)"": 0, ""Lock(MON7)"": 0, ""OTP(MON6)"": 0, ""not_used(MON5)"": 0, ""No_CLK(MON4)"": 0, ""not_used(MON3)"": 0, ""not_used(MON2)"": 0, ""OC2(MON1)"": 0, ""OC1(MON0)"": 0, ""CRC"": 6}",0
0.5192855,0.006549999999938549,SMA760,0x33000014,0x00000006,RD_MONITOR_II_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 5}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""not_used(MON15)"": 0, ""not_used(MON14)"": 0, ""not_used(MON13)"": 0, ""not_used(MON12)"": 0, ""not_used(MON11)"": 0, ""not_used(MON10)"": 0, ""FOC_Busy_CH2(MON9)"": 0, ""FOC_Busy_CH1(MON8)"": 0, ""not_used(MON7)"": 0, ""GND_MEMS(MON6)"": 0, ""not_used(MON5)"": 0, ""GND_EXT(MON4)"": 0, ""UVA(MON3)"": 0, ""UVSI(MON2)"": 0, ""UVS(MON1)"": 0, ""EOP(MON0)"": 0, ""CRC"": 6}",0
0.51976595,0.48045000000007665,SMA760,0x8000000C,0x03700040,RD_SENSOR_DATA_CH1,,"{""SEN"": 1, ""CRC"": 3}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,23,"{""Sensor Data"": 1, ""CRC"": 0, ""D"": 4}",0
0.51977245,0.006500000000020378,SMA760,0xC0000008,0x03BFFF07,RD_SENSOR_DATA_CH2,,"{""SEN"": 1, ""CRC"": 2}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,27,"{""Sensor Data"": 16380, ""CRC"": 7, ""D"": 65520}",0
0.519779,0.006549999999938549,SMA760,0x3200001C,0x00000006,RD_MONITOR_I_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 7}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""DCM(MON15)"": 0, ""ME(MON14)"": 0, ""not_used(MON13)"": 0, ""CD(MON12)"": 0, ""SOC2(MON11)"": 0, ""SOC1(MON10)"": 0, ""EXT_M(MON9)"": 0, ""OTP_ECC(MON8)"": 0, ""Lock(MON7)"": 0, ""OTP(MON6)"": 0, ""not_used(MON5)"": 0, ""No_CLK(MON4)"": 0, ""not_used(MON3)"": 0, ""not_used(MON2)"": 0, ""OC2(MON1)"": 0, ""OC1(MON0)"": 0, ""CRC"": 6}",0
0.51978555,0.006550000000049572,SMA760,0x33000014,0x00000006,RD_MONITOR_II_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 5}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""not_used(MON15)"": 0, ""not_used(MON14)"": 0, ""not_used(MON13)"": 0, ""not_used(MON12)"": 0, ""not_used(MON11)"": 0, ""not_used(MON10)"": 0, ""FOC_Busy_CH2(MON9)"": 0, ""FOC_Busy_CH1(MON8)"": 0, ""not_used(MON7)"": 0, ""GND_MEMS(MON6)"": 0, ""not_used(MON5)"": 0, ""GND_EXT(MON4)"": 0, ""UVA(MON3)"": 0, ""UVSI(MON2)"": 0, ""UVS(MON1)"": 0, ""EOP(MON0)"": 0, ""CRC"": 6}",0
0.520266,0.4804499999999656,SMA760,0x8000000C,0x037000C1,RD_SENSOR_DATA_CH1,,"{""SEN"": 1, ""CRC"": 3}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,23,"{""Sensor Data"": 3, ""CRC"": 1, ""D"": 12}",0
0.52027255,0.006549999999938549,SMA760,0xC0000008,0x03BFFF42,RD_SENSOR_DATA_CH2,,"{""SEN"": 1, ""CRC"": 2}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",1,27,"{""Sensor Data"": 16381, ""CRC"": 2, ""D"": 65524}",0
0.52027905,0.006500000000020378,SMA760,0x3200001C,0x00000006,RD_MONITOR_I_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 7}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""DCM(MON15)"": 0, ""ME(MON14)"": 0, ""not_used(MON13)"": 0, ""CD(MON12)"": 0, ""SOC2(MON11)"": 0, ""SOC1(MON10)"": 0, ""EXT_M(MON9)"": 0, ""OTP_ECC(MON8)"": 0, ""Lock(MON7)"": 0, ""OTP(MON6)"": 0, ""not_used(MON5)"": 0, ""No_CLK(MON4)"": 0, ""not_used(MON3)"": 0, ""not_used(MON2)"": 0, ""OC2(MON1)"": 0, ""OC1(MON0)"": 0, ""CRC"": 6}",0
0.5202856,0.006550000000049572,SMA760,0x33000014,0x00000006,RD_MONITOR_II_DATA,,"{""SEN"": 0, ""0"": 0, ""CRC"": 5}","{""TFF"": 0, ""TST"": 0, ""EOP"": 0, ""0(not_used)"": 0, ""TF"": 0, ""PF"": 0}",0,{},"{""not_used(MON15)"": 0, ""not_used(MON14)"": 0, ""not_used(MON13)"": 0, ""not_used(MON12)"": 0, ""not_used(MON11)"": 0, ""not_used(MON10)"": 0, ""FOC_Busy_CH2(MON9)"": 0, ""FOC_Busy_CH1(MON8)"": 0, ""not_used(MON7)"": 0, ""GND_MEMS(MON6)"": 0, ""not_used(MON5)"": 0, ""GND_EXT(MON4)"": 0, ""UVA(MON3)"": 0, ""UVSI(MON2)"": 0, ""UVS(MON1)"": 0, ""EOP(MON0)"": 0, ""CRC"": 6}",0
